Run	Cell	Species	CellLine	Barcode.1st	Barcode.2nd	Remark	TotalReads	UniqReads	Length.Median	Length.Mean	Length.Std	Background	GC.Median	GC.Mean	GC.Std	Spikiness	GenomicDepth	GenomicCoverage
20220929_P1	20220929_P1.C04	Mouse	epithelium	19	15		404836	133051	2011.0	2329.916385446182	1166.067272752313	0.003125	0.4121144555927165	0.4158629968798262	0.05241467553812017	0.2979250967184383	0.3667254044618603	0.1044281771146789
20220929_P1	20220929_P1.C05	Mouse	epithelium	19	18		128711	77800	2056.0	2311.054048843188	1041.928696508684	0.041394	0.4111004274886474	0.4154215395452211	0.0523426630692388	0.3272988505747126	0.116655755462869	0.06439612058099682
20220929_P1	20220929_P1.C06	Mouse	epithelium	20	9		238107	100629	2073.0	2353.729680310845	1105.115598905723	0.005018	0.4108910891089109	0.4147407728803084	0.05271157297086908	0.3026885010656931	0.2187331134212225	0.08295716692429657
20220929_P1	20220929_P1.C07	Mouse	epithelium	20	11		108101	71415	2149.0	2442.67921305048	1147.522115011353	0.014222	0.4109811565951917	0.4153799336191781	0.0524163932158643	0.3176226448896718	0.1031022852722664	0.06290247692610322
20220929_P1	20220929_P1.C09	Mouse	epithelium	20	13		147532	81755	2644.0	2923.013980796281	1469.852223803201	0.023429	0.4126693518857562	0.4180178140081162	0.05411522769456555	0.3267346062238882	0.1646819802998773	0.08460193541900525
20220929_P1	20220929_P1.C11	Mouse	epithelium	20	15		168063	96820	2079.0	2377.719334848172	1134.688418089981	0.026481	0.4118133895092128	0.4158548253122262	0.05212085207864496	0.3062699631958797	0.1552457372132884	0.08192868301046241
20220929_P1	20220929_P1.C12	Mouse	epithelium	20	16		221497	105653	2477.0	2803.484699913869	1340.475498002926	0.004915999999999999	0.4127764127764128	0.4166232112669016	0.05119629198764511	0.327301297648013	0.2378910838380043	0.1034562532502624
20220929_P1	20220929_P1.C17	Mouse	epithelium	21	14		240320	87437	2075.0	2390.674702928966	1167.971901351855	0.003936	0.4112478031634446	0.415373418227284	0.05240675472194901	0.3400312134217713	0.2283489451103721	0.07202346817687028
20220929_P1	20220929_P1.C19	Mouse	epithelium	21	16		150610	91541	2506.0	2819.982434100567	1326.984295004135	0.004772	0.4122855561704483	0.4163323679774951	0.05111063692199277	0.3220252222067104	0.1646335782192941	0.09173612037885656
20220929_P1	20220929_P1.C20	Mouse	epithelium	21	18		131610	75524	2731.0	3008.383467507017	1362.966664955009	0.002251	0.4129443996643657	0.4169443764868374	0.05105029251825475	0.324021164021164	0.1495066899878001	0.08142386468306645
20220929_P1	20220929_P1.C22	Mouse	epithelium	22	11		190396	90776	2105.0	2426.586884198467	1193.47055744935	0.011013	0.4117181314330958	0.4160220733052597	0.05222372861037228	0.3230742317336288	0.1843674989618994	0.077838593506922
20220929_P1	20220929_P1.C29	Mouse	epithelium	23	14		174031	94543	2132.0	2411.874966946257	1120.091770377169	0.007622	0.4122011541632317	0.4162895640400608	0.05247340786405812	0.2992964869299409	0.162227716425802	0.08135271116394054
20220929_P1	20220929_P1.C34	Mouse	epithelium	26	11		271898	157333	2005.0	2238.342903268863	976.9825730300166	0.009907	0.4112903225806452	0.4153511070587078	0.05271204944957164	0.2300373260943332	0.2366608847954173	0.1237015569453269
20220929_P1	20220929_P1.C36	Mouse	epithelium	26	13		447495	172228	1908.0	2174.908981118053	1018.67209610483	0.016972	0.4110477737805114	0.4150912557398778	0.0526528785041267	0.2428878336294801	0.3806056530554692	0.1277223875632879
20220929_P1	20220929_P1.C41	Mouse	epithelium	27	9		201130	114764	1987.0	2269.993421281935	1067.105563119974	0.009541	0.4124257475899886	0.4164536824186104	0.0530246200582566	0.2816032697041475	0.1815877475206609	0.09266523551397614
20220929_P1	20220929_P1.C43	Mouse	epithelium	27	14		435917	127185	1981.0	2340.948649604906	1238.590905519274	0.013572	0.4127735068007096	0.4168198260617584	0.05332012400152649	0.3117020384195957	0.3998967529478331	0.1005813474327051
20220929_P1	20220929_P1.C44	Mouse	epithelium	27	15		300760	157866	1921.0	2183.598469588132	1004.380137708118	0.013875	0.4129965837750643	0.416967786247279	0.05315145054931528	0.2528252973819586	0.2545000225648581	0.1208966924734529
