Run,Cell,Species,CellLine,Strain,Barcode.1st,Barcode.2nd,Remark,TotalReads,UniqReads,Length.Median,Length.Mean,Length.Std,Background,GC.Median,GC.Mean,GC.Std,Spikiness,GenomicDepth,GenomicCoverage
20220430_S5Merged,20220430_S5Merged.sc007,Human,HG001,HG001,9,7,,231162,74445,2373.0,2754.216508832023,1443.642483132691,0.00548,0.3990384615384616,0.410458441871883,0.067320199802159,0.4005528368144189,0.2074925931117473,0.062368369765336
20220430_S5Merged,20220430_S5Merged.sc008,Human,HG001,HG001,9,8,,5057,4936,2361.5,2597.470826580227,1108.141490407779,0.011403,0.3954439490071406,0.4061777607062577,0.065128237871174,0.8342942558189195,0.0043443177001559,0.0042245793287618
20220430_S5Merged,20220430_S5Merged.sc009,Human,HG001,HG001,10,1,,464,459,3149.0,3535.464052287582,1708.543745471342,0.091239,0.4002393060125636,0.4101503068615116,0.0653571043596524,1.753363228699552,0.0005565238792941,0.0005462386673477
20220430_S5Merged,20220430_S5Merged.sc010,Human,HG001,HG001,10,2,,439,433,2693.0,2946.935334872979,1624.515721897267,0.203409,0.3957845433255269,0.4030730036311914,0.0651953629679385,1.730392156862745,0.0004275197736747,0.0004203142122719
20220430_S5Merged,20220430_S5Merged.sc011,Human,HG001,HG001,10,3,,199,147,2392.0,2661.78231292517,1370.742886706283,0.0,0.4095833333333334,0.4200302148281661,0.0658812346356583,1.885714285714286,0.0001800778177118,0.0001288058448547
20220430_S5Merged,20220430_S5Merged.sc012,Human,HG001,HG001,10,4,,1048,933,2625.0,2826.630225080386,1304.746685622019,0.259152,0.4019277108433735,0.4096039027988019,0.0647261972677869,1.469387755102041,0.0009685636611638,0.0008635584993613
20220430_S5Merged,20220430_S5Merged.sc013,Human,HG001,HG001,10,5,,453758,98071,2759.0,3311.648988997767,2012.215879388719,0.03593,0.3982122905027933,0.409760938121395,0.065827722399042,0.4121267480046106,0.4543561465982417,0.0937292613370658
20220430_S5Merged,20220430_S5Merged.sc014,Human,HG001,HG001,10,6,,223,220,2671.0,2971.886363636364,1507.90422615914,0.133333,0.3853448167114489,0.3998872762217896,0.0639682874844072,1.866028708133972,0.0002213511871664,0.0002176148413183
20220430_S5Merged,20220430_S5Merged.sc015,Human,HG001,HG001,10,7,,21609,20377,2471.0,2736.211807429946,1191.223579568732,0.109284,0.3983661701105238,0.4101121918278551,0.0667547437408924,0.4887797311271975,0.0195264560976465,0.0181178759737714
20220430_S5Merged,20220430_S5Merged.sc016,Human,HG001,HG001,10,8,,4503,4369,2699.0,2970.217212176699,1310.975247840289,0.020217,0.3935663224781573,0.4051349439500381,0.0644936224309438,0.9280487804878048,0.0043818317672528,0.0042306937603075
20220430_S5Merged,20220430_S5Merged.sc017,Human,HG001,HG001,11,1,,177,164,2130.5,2327.195121951219,1248.514580230994,0.0,0.3835931943171872,0.3951250084943497,0.0654722480129865,1.974025974025974,0.0001346858417419,0.0001235926302233
20220430_S5Merged,20220430_S5Merged.sc018,Human,HG001,HG001,11,2,,6444,6136,2827.0,3125.824967405476,1444.15831685291,0.052587,0.3987156997331748,0.4080728846955953,0.0637897255134159,0.8250688705234159,0.0065884465990901,0.0062655594656759
20220430_S5Merged,20220430_S5Merged.sc019,Human,HG001,HG001,11,3,,144099,57153,2757.0,3205.975451857295,1702.678541600392,0.004225,0.3969497114591921,0.4074143304959208,0.0631225122712919,0.5442613795029322,0.1541449865708976,0.0556066561275371
20220430_S5Merged,20220430_S5Merged.sc020,Human,HG001,HG001,11,4,,107844,75348,2677.0,2993.7080081754,1347.703268646213,0.005625,0.3948550713398599,0.4056917036624433,0.0639532839133987,0.3226502916105877,0.1076751503020596,0.0708646723979021
20220430_S5Merged,20220430_S5Merged.sc021,Human,HG001,HG001,11,5,,1661,1595,2364.0,2614.483385579937,1138.464628584924,0.0079849999999999,0.3946802268726775,0.4068509055990863,0.0669370430360265,1.305702917771883,0.0014344493275715,0.0013713617087956
20220430_S5Merged,20220430_S5Merged.sc022,Human,HG001,HG001,11,6,,61,61,2754.0,3121.770491803279,1599.447347110384,0.0,0.3977602654500208,0.4080108181025437,0.0583588254026222,2.0,6.25561407963665e-05,6.25561407963665e-05
20220430_S5Merged,20220430_S5Merged.sc023,Human,HG001,HG001,11,7,,185,176,2974.5,3276.318181818182,1638.610068191487,0.0,0.3967614198262405,0.4013262240823981,0.0510510321340351,1.863095238095238,0.0002025160667027,0.0001940607668311
20220430_S5Merged,20220430_S5Merged.sc024,Human,HG001,HG001,11,8,,252,249,2560.0,2827.650602409639,1295.767754926967,0.073611,0.3934579439252336,0.4098766017066076,0.0698546794452316,1.763713080168776,0.00023491778868,0.0002335904850348
20220430_S5Merged,20220430_S5Merged.sc025,Human,HG001,HG001,12,1,,789,757,2888.0,3167.068692206077,1441.613547423947,0.0,0.4067705534658785,0.4160317881423021,0.0662975508462999,1.55858310626703,0.0008447978136409,0.0008106315708586
20220430_S5Merged,20220430_S5Merged.sc026,Human,HG001,HG001,12,2,,385,383,2842.0,3180.221932114882,1576.275976267196,0.21881,0.3975450901803607,0.4070193547222418,0.0632636331885983,1.780821917808219,0.0004054804809943,0.0004003587445753
20220430_S5Merged,20220430_S5Merged.sc027,Human,HG001,HG001,12,3,,76,43,2899.0,3478.813953488372,1972.178446756736,0.0,0.415412558380903,0.4375835613342894,0.0854017686583933,1.951219512195122,8.394743381982807e-05,4.536797598258802e-05
20220430_S5Merged,20220430_S5Merged.sc028,Human,HG001,HG001,12,4,,177814,47641,2594.0,3096.841669990134,1865.470443750284,0.004441,0.4028833551769331,0.4149159337802454,0.0699115885315969,0.5130427302638653,0.1807846041202896,0.0451589127889164
20220430_S5Merged,20220430_S5Merged.sc029,Human,HG001,HG001,12,5,,103313,61943,2889.0,3266.094151074374,1571.027839026442,0.005795,0.3980833026170291,0.4096051642393365,0.0654830582078393,0.4163165559145005,0.1147845329731968,0.0642364258198817
20220430_S5Merged,20220430_S5Merged.sc030,Human,HG001,HG001,12,6,,438,405,3441.0,3696.02962962963,1635.818867424911,0.074653,0.4005772931366261,0.4163207086119594,0.0741440389550149,1.662198391420912,0.0005056345149301,0.0004756352264637
20220430_S5Merged,20220430_S5Merged.sc031,Human,HG001,HG001,12,7,,238546,117375,2426.0,2768.87684771033,1332.337142073161,0.003897,0.3966393122313404,0.4072725924237953,0.0651896074980457,0.398635654414166,0.2152462752678849,0.0990360901798507
20220430_S5Merged,20220430_S5Merged.sc032,Human,HG001,HG001,12,8,,445,438,2992.0,3246.294520547945,1510.057320729178,0.0067569999999999,0.3906122252738144,0.4062935071077209,0.0630214078069053,1.662531017369727,0.0004606529735256,0.0004525628908519
20220430_S5Merged,20220430_S5Merged.sc033,Human,HG001,HG001,13,1,,41723,35468,2668.0,2903.941271004849,1175.585496977786,0.011275,0.3931149361465852,0.4038780611647057,0.0630656125737168,0.3717432178350792,0.039663336219966,0.0331542127093176
20220430_S5Merged,20220430_S5Merged.sc034,Human,HG001,HG001,13,2,,1017,995,2631.0,3017.308542713568,1668.417109277545,0.289747,0.3982772764561116,0.4113877923631663,0.0677887157968053,1.542462845010616,0.0010118116382687,0.0009794690466949
20220430_S5Merged,20220430_S5Merged.sc035,Human,HG001,HG001,13,3,,1310,1228,2725.0,3020.234527687297,1488.902989156964,0.017229,0.4012001466234467,0.4141484512031666,0.068714326684565,1.36137339055794,0.0013107158278575,0.0012294202187208
20220430_S5Merged,20220430_S5Merged.sc036,Human,HG001,HG001,13,4,,322822,185580,2652.0,3019.359467615045,1470.746414969552,0.322935,0.4068588973753038,0.4175054008037554,0.0670759693372516,0.3475779955631687,0.3232201541074523,0.1619875396365094
20220430_S5Merged,20220430_S5Merged.sc037,Human,HG001,HG001,13,5,,382298,84962,2634.0,3069.767955085803,1689.376804594888,0.007433,0.3952647950626391,0.4067966993150355,0.065922625733643,0.3374301537546616,0.3702391605203471,0.0763505327980831
