	Run	Cell	Species	CellLine	Barcode.1st	Barcode.2nd	Remark	TotalReads	UniqReads	Length.Median	Length.Mean	Length.Std	Background	GC.Median	GC.Mean	GC.Std	Spikiness	GenomicDepth	GenomicCoverage
61	20220430_S5Merged	20220430_S5Merged.sc006	Human	HG001	9	6		80507	57639	2569.0	2906.267041412932	1362.896069353939	0.15305	0.4093453394986615	0.4211369693906113	0.07085295369663869	0.4567340127117139	0.07942360177992283	0.05366003385371425
62	20220430_S5Merged	20220430_S5Merged.sc007	Human	HG001	9	7		234845	75800	2371.0	2755.675554089709	1453.774081884683	0.00527	0.3988285942397869	0.4103709680226528	0.06755473679382626	0.4053451498996054	0.2109938267364855	0.06308940938362396
63	20220430_S5Merged	20220430_S5Merged.sc008	Human	HG001	9	8		5136	5014	2362.0	2597.901276426007	1112.745118197229	0.011435	0.3954216695281135	0.4061577801682112	0.06530411262857062	0.8353658536585366	0.004417439052750526	0.004285795992006436
64	20220430_S5Merged	20220430_S5Merged.sc009	Human	HG001	10	1		470	465	3149.0	3535.679569892473	1705.928473116345	0.091239	0.4001312623058412	0.4096165060730044	0.06518085121782352	1.75609756097561	0.0005632414409553137	0.0005517489253002211
65	20220430_S5Merged	20220430_S5Merged.sc010	Human	HG001	10	2		448	442	2690.5	2952.610859728507	1676.876286235535	0.203409	0.3958809580235429	0.4032885508141564	0.06518592541591854	1.726618705035971	0.0004646032323039584	0.0004497322836547702
66	20220430_S5Merged	20220430_S5Merged.sc011	Human	HG001	10	3		202	150	2387.0	2650.353333333333	1377.157977559421	0.0	0.4069405007456926	0.4191225301509848	0.06562365531240934	1.881118881118881	0.0001960962440144406	0.0001445724452037351
67	20220430_S5Merged	20220430_S5Merged.sc012	Human	HG001	10	4		1055	940	2626.0	2829.789361702128	1307.051959073018	0.259152	0.4016724344109374	0.4095031549849309	0.0645426067792361	1.473565804274466	0.000994573386524976	0.0008883772688312338
68	20220430_S5Merged	20220430_S5Merged.sc013	Human	HG001	10	5		461249	99953	2755.0	3310.841705601633	2019.708697309836	0.031795	0.3981337480559876	0.409769352638316	0.06613857515633835	0.4169183000608188	0.4619938430766507	0.09473564202168797
69	20220430_S5Merged	20220430_S5Merged.sc014	Human	HG001	10	6		225	222	2671.0	2964.72972972973	1503.728512886383	0.133333	0.3853448167114489	0.3997824022797619	0.0636916697129552	1.85781990521327	0.0002312610949636917	0.0002258548369561524
70	20220430_S5Merged	20220430_S5Merged.sc015	Human	HG001	10	7		21946	20695	2471.0	2736.240831118628	1195.255598429104	0.109284	0.3982430453879942	0.4100687789764206	0.06671666416708293	0.4885224207258106	0.01988123190983132	0.01837132175264289
71	20220430_S5Merged	20220430_S5Merged.sc016	Human	HG001	10	8		4582	4446	2696.5	2970.5110211426	1325.025319524842	0.020217	0.3934780287073077	0.4051163260860041	0.06451843096168862	0.9264494489698132	0.004467137809049132	0.004295635638971325
72	20220430_S5Merged	20220430_S5Merged.sc017	Human	HG001	11	1		177	164	2130.5	2327.195121951219	1248.514580230994	0.0	0.3835931943171872	0.3951250084943497	0.06547224801298658	1.974025974025974	0.000138144622519612	0.0001265769764695102
73	20220430_S5Merged	20220430_S5Merged.sc018	Human	HG001	11	2		6557	6244	2822.0	3119.232863549007	1443.422945541033	0.052645	0.3984701019373436	0.4081792570728758	0.06415524987666868	0.8228726103874133	0.006703157842710875	0.006361738545194412
74	20220430_S5Merged	20220430_S5Merged.sc019	Human	HG001	11	3		145663	57821	2753.0	3202.673561508795	1701.46343299824	0.004229	0.3969242035884292	0.4074923275069244	0.06318324064784735	0.5453725685051253	0.1558821776512437	0.05610658073244666
75	20220430_S5Merged	20220430_S5Merged.sc020	Human	HG001	11	4		109521	76564	2675.0	2993.140718875712	1351.507977821411	0.005632	0.3947268315529156	0.4056904382278954	0.06393693240039476	0.3246488008169348	0.1094462251905549	0.07167141075343055
76	20220430_S5Merged	20220430_S5Merged.sc021	Human	HG001	11	5		1695	1626	2364.0	2614.89483394834	1149.656026694511	0.007984999999999999	0.3947420492488706	0.4069508396293806	0.06698036050955594	1.298828125	0.001480785303041659	0.001413572469058331
77	20220430_S5Merged	20220430_S5Merged.sc022	Human	HG001	11	6		62	62	2743.5	3102.483870967741	1593.63120295449	0.0	0.3989058926425785	0.4079201334505364	0.05789060939800741	2.0	6.693631239058523e-05	6.693631239058523e-05
78	20220430_S5Merged	20220430_S5Merged.sc023	Human	HG001	11	7		190	181	2932.0	3240.303867403315	1636.279242211833	0.0	0.3961820851688693	0.4024615227120468	0.05248693433799412	1.855491329479769	0.0002252833589978183	0.0002103404103867462
79	20220430_S5Merged	20220430_S5Merged.sc024	Human	HG001	11	8		257	254	2552.5	2818.212598425197	1288.53125891288	0.073611	0.3935435339648922	0.4098652761524398	0.0694649618277914	1.767634854771784	0.000240097264198944	0.0002387490909996116
80	20220430_S5Merged	20220430_S5Merged.sc025	Human	HG001	12	1		793	761	2880.0	3160.001314060447	1442.991773210825	0.0	0.4067705534658785	0.4160058221989231	0.06620268642995474	1.557666214382632	0.0008519501576806468	0.0008173693064222315
81	20220430_S5Merged	20220430_S5Merged.sc026	Human	HG001	12	2		390	388	2840.5	3167.389175257732	1582.17420241579	0.21881	0.3978585148410553	0.4076129454977334	0.06338187266600444	1.783783783783784	0.0004218453418961356	0.0004163896926103958
82	20220430_S5Merged	20220430_S5Merged.sc027	Human	HG001	12	3		77	44	2823.0	3459.772727272727	1953.632721875704	0.0	0.4163993426021811	0.438576141749044	0.08467624147756046	1.952380952380952	9.262673357290837e-05	5.36744063678447e-05
83	20220430_S5Merged	20220430_S5Merged.sc028	Human	HG001	12	4		181378	48743	2592.0	3101.152001313009	1880.833764948921	0.004628	0.4024179620034543	0.4145254000469759	0.07018281028396554	0.5234401278170199	0.1847950910406509	0.04570153093644171
84	20220430_S5Merged	20220430_S5Merged.sc029	Human	HG001	12	5		105107	63081	2887.0	3269.029898067564	1584.162748347845	0.005561	0.3979084967320262	0.4096351911188987	0.06556954743318462	0.4222076107503904	0.1169889485018506	0.06507110085627286
85	20220430_S5Merged	20220430_S5Merged.sc030	Human	HG001	12	6		443	409	3449.0	3699.058679706602	1629.150504327285	0.074653	0.4014415543716704	0.4166291295854925	0.07390571882083186	1.660477453580902	0.0005244758962600647	0.0004876873939964474
86	20220430_S5Merged	20220430_S5Merged.sc031	Human	HG001	12	7		241863	119007	2424.0	2767.505180367541	1334.547570130602	0.003675	0.396590066716086	0.4073478029374857	0.06533714577495361	0.3999319904428675	0.2182673063642295	0.1000449449501196
87	20220430_S5Merged	20220430_S5Merged.sc032	Human	HG001	12	8		448	441	2973.0	3240.931972789116	1509.687754323292	0.006756999999999999	0.3907355021216407	0.4064693347546229	0.06294428871142331	1.660098522167488	0.0004640759282352825	0.0004557277587416874
