Run,Cell,Method,Species,CellLine,Layout,SRR,TotalReads,UniqReads,Background,GC.Mean,GC.Median,Spikiness,GenomicDepth,GenomicCoverage
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541144,OP-Strand-seq,Human,HG001,PAIRED,SRR16541144,458,458,0.202381,0.4349874795188549,0.4342105263157895,1.8099547511312215,1.1429559166682068e-05,1.033286409508899e-05
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541145,OP-Strand-seq,Human,HG001,PAIRED,SRR16541145,1100544,1036062,0.049665,0.4362878215044575,0.4342105263157895,0.1617560658270566,0.0271319275496369,0.0234876738266992
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541146,OP-Strand-seq,Human,HG001,PAIRED,SRR16541146,991906,925186,0.004522,0.4346556924032791,0.4285714285714285,0.2214761353942896,0.0249127864635613,0.0212759602149525
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541147,OP-Strand-seq,Human,HG001,PAIRED,SRR16541147,267070,260338,0.004071,0.4314794314276087,0.4210526315789473,0.2029578070367576,0.0065652459157202,0.0058740247164293
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541148,OP-Strand-seq,Human,HG001,PAIRED,SRR16541148,771868,736634,0.008405,0.4342547130041499,0.4266666666666667,0.1448018062213654,0.0189149510300676,0.0163896688886692
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541149,OP-Strand-seq,Human,HG001,PAIRED,SRR16541149,337700,328170,0.005743,0.438484057029442,0.4342105263157895,0.1999807383627608,0.0083023455178539,0.0072722486718739
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541150,OP-Strand-seq,Human,HG001,PAIRED,SRR16541150,1242338,1156840,0.080603,0.4414419071578511,0.4342105263157895,0.1742213859094234,0.0305954411943438,0.025886981078266
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541151,OP-Strand-seq,Human,HG001,PAIRED,SRR16541151,587628,552576,0.006301,0.4426010473725499,0.4342105263157895,0.300934710026622,0.0150093583150457,0.012915028641157
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541152,OP-Strand-seq,Human,HG001,PAIRED,SRR16541152,334106,322330,0.017411,0.4420750511991332,0.4342105263157895,0.1903410952262393,0.0082166311284478,0.0072268445219974
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541153,OP-Strand-seq,Human,HG001,PAIRED,SRR16541153,672764,643782,0.004744,0.4352078222405365,0.4305555555555556,0.1788104570928763,0.016714353934175,0.0144604570404119
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541154,OP-Strand-seq,Human,HG001,PAIRED,SRR16541154,384274,373080,0.347972,0.4473637007490653,0.4473684210526316,0.2784333206814173,0.0095765677998135,0.0085727505920951
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541155,OP-Strand-seq,Human,HG001,PAIRED,SRR16541155,835424,793958,0.072082,0.440193760312038,0.4342105263157895,0.1867685124898763,0.0205988972690359,0.0177949043186628
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541156,OP-Strand-seq,Human,HG001,PAIRED,SRR16541156,287814,280334,0.006355,0.4570013282109676,0.4520547945205479,0.277704145497386,0.0072254681748999,0.0064511715413276
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541157,OP-Strand-seq,Human,HG001,PAIRED,SRR16541157,1568524,1437542,0.00362,0.4361833790184536,0.4342105263157895,0.1172962197456343,0.0385735458403698,0.0319570036039793
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541158,OP-Strand-seq,Human,HG001,PAIRED,SRR16541158,1471524,1351516,0.005972,0.4384523912515313,0.4342105263157895,0.1210254216916367,0.0361796778902713,0.0299825166492555
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541159,OP-Strand-seq,Human,HG001,PAIRED,SRR16541159,370674,359384,0.152591,0.4563697363796472,0.4477611940298507,0.2959566316132714,0.0091794768795951,0.0081150635300428
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541160,OP-Strand-seq,Human,HG001,PAIRED,SRR16541160,3828,3784,0.027055,0.4560706706675315,0.4473684210526316,1.205654101995565,9.48079498094958e-05,8.56618676948304e-05
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541161,OP-Strand-seq,Human,HG001,PAIRED,SRR16541161,470180,454272,0.004383,0.4345545334265174,0.4266666666666667,0.1613175793309965,0.0115500954506972,0.0100183786963574
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR16541162,OP-Strand-seq,Human,HG001,PAIRED,SRR16541162,675722,647114,0.005242,0.4387001561667346,0.4342105263157895,0.1551927104335497,0.016609662163511,0.0141562432884165
