Run,Cell,Method,Species,CellLine,Layout,SRR,TotalReads,UniqReads,Background,GC.Mean,GC.Median,Spikiness,GenomicDepth,GenomicCoverage
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009801,OP-Strand-seq,Human,HG001,PAIRED,SRR15009801,10295664,6283534,0.008938,0.4461456136135312,0.44,0.1009289415508408,0.254962601372842,0.1295674729733238
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009802,OP-Strand-seq,Human,HG001,PAIRED,SRR15009802,3419764,2634628,0.005895,0.4516250784956834,0.4473684210526316,0.2473928456748588,0.0839787513684662,0.0566280813259339
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009806,OP-Strand-seq,Human,HG001,PAIRED,SRR15009806,11161068,6476328,0.006513,0.4378359869635473,0.4342105263157895,0.0938164838369635,0.275437274707641,0.1331323778687029
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009807,OP-Strand-seq,Human,HG001,PAIRED,SRR15009807,3821028,3045462,0.004872,0.4455346143938142,0.4342105263157895,0.1118633695594234,0.0943326001480982,0.0643171409075866
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009808,OP-Strand-seq,Human,HG001,PAIRED,SRR15009808,11914240,6681010,0.005132,0.4414014589768419,0.4342105263157895,0.0961096780809491,0.2944556503786087,0.1373771735345884
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009809,OP-Strand-seq,Human,HG001,PAIRED,SRR15009809,4907316,3715978,0.011218,0.4465165137697174,0.4473684210526316,0.1095739762443823,0.1212824241419653,0.079309549318562
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009810,OP-Strand-seq,Human,HG001,PAIRED,SRR15009810,5589698,4152884,0.019033,0.4524162069490655,0.4473684210526316,0.1304637686971167,0.1396249980837401,0.0887693303975927
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009812,OP-Strand-seq,Human,HG001,PAIRED,SRR15009812,9216284,5842054,0.004746,0.4330644879857938,0.4210526315789473,0.1073282322174418,0.2290504001340142,0.1250588092732147
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009815,OP-Strand-seq,Human,HG001,PAIRED,SRR15009815,7791406,5389246,0.003611,0.4370541953711636,0.4342105263157895,0.097113517394012,0.192418849787308,0.1158415202397239
20210729_PRJNA742746_HG001,20210729_PRJNA742746_HG001.SRR15009816,OP-Strand-seq,Human,HG001,PAIRED,SRR15009816,4164620,3348168,0.010877,0.4424501531234945,0.4342105263157895,0.1079160642684129,0.1028905883132259,0.0721967704753096
