Name	Number	Depth	Cells
cov7-r3	26	6.997743288846858	20220430_S5Merged.sc003,20220430_S5Merged.sc085,20220430_S5Merged.sc093,20220430_S5Merged.sc157,20220610_Treat.sc001,20220610_Treat.sc021,20220610_Treat.sc024,20220610_Treat.sc031,20220708_GM12878.sc011,20220708_GM12878.sc039,20220708_GM12878.sc051,20220708_GM12878.sc053,20220708_GM12878.sc057,20220708_GM12878R2.C04,20220708_GM12878R2.C39,20220708_GM12878R2.C54,20220817_HG001.C62,20220915_P1.C16,20220915_P1.C17,20220915_P1.C22,20220915_P1.C68,20220916_P1.C45,20220916_P1.C61,20220916_P1.C67,20220916_P1.C78,20220916_P2.C29
cov7-r4	24	7.006330625518188	20220418_S5CSTreat.sc025,20220418_S5CSTreat.sc050,20220430_S5Merged.sc001,20220430_S5Merged.sc044,20220430_S5Merged.sc101,20220430_S5Merged.sc125,20220430_S5Merged.sc126,20220430_S5Merged.sc154,20220708_GM12878.sc020,20220708_GM12878.sc022,20220708_GM12878.sc049,20220708_GM12878.sc054,20220708_GM12878.sc065,20220708_GM12878.sc088,20220708_GM12878R2.C36,20220708_GM12878R2.C84,20220817_HG001.C23,20220915_P1.C13,20220915_P1.C58,20220915_P1.C68,20220915_P1.C74,20220915_P1.C89,20220915_P1.C93,20220916_P1.C64
cov7-r5	25	6.992939126520573	20220418_S5CSTreat.sc034,20220430_S5Merged.sc013,20220430_S5Merged.sc070,20220430_S5Merged.sc119,20220430_S5Merged.sc145,20220430_S5Merged.sc167,20220610_Treat.sc002,20220610_Treat.sc007,20220610_Treat.sc022,20220610_Treat.sc025,20220610_Treat.sc030,20220610_Treat.sc039,20220708_GM12878.sc017,20220708_GM12878R2.C08,20220708_GM12878R2.C13,20220708_GM12878R2.C47,20220708_GM12878R2.C65,20220817_HG001.C15,20220817_HG001.C28,20220817_HG001.C40,20220817_HG001.C57,20220915_P1.C63,20220916_P1.C33,20220916_P1.C84,20220916_P2.C07
cov8-r1	32	8.000100620468471	20220418_S5CSTreat.sc053,20220430_S5Merged.sc125,20220430_S5Merged.sc136,20220430_S5Merged.sc144,20220610_Treat.sc029,20220610_Treat.sc081,20220708_GM12878.sc004,20220708_GM12878.sc018,20220708_GM12878.sc036,20220708_GM12878.sc044,20220708_GM12878.sc076,20220708_GM12878.sc081,20220708_GM12878.sc087,20220708_GM12878R2.C02,20220708_GM12878R2.C10,20220708_GM12878R2.C16,20220708_GM12878R2.C25,20220708_GM12878R2.C80,20220708_GM12878R2.C85,20220817_HG001.C03,20220817_HG001.C21,20220817_HG001.C49,20220817_HG001.C62,20220915_P1.C02,20220915_P1.C37,20220915_P1.C39,20220915_P1.C51,20220915_P1.C72,20220915_P1.C75,20220916_P1.C33,20220916_P2.C15,20220916_P2.C66
cov8-r2	28	7.998268716742613	20220418_S5CSTreat.sc021,20220418_S5CSTreat.sc054,20220430_S5Merged.sc082,20220430_S5Merged.sc147,20220610_Treat.sc014,20220610_Treat.sc074,20220708_GM12878.sc005,20220708_GM12878.sc021,20220708_GM12878.sc022,20220708_GM12878.sc027,20220708_GM12878.sc078,20220708_GM12878.sc088,20220708_GM12878R2.C05,20220708_GM12878R2.C12,20220708_GM12878R2.C16,20220708_GM12878R2.C36,20220708_GM12878R2.C45,20220708_GM12878R2.C55,20220708_GM12878R2.C73,20220817_HG001.C07,20220817_HG001.C22,20220915_P1.C16,20220915_P1.C54,20220916_P1.C20,20220916_P1.C35,20220916_P1.C78,20220916_P2.C09,20220916_P2.C36
cov8-r3	27	7.997548470515209	20220430_S5Merged.sc005,20220430_S5Merged.sc042,20220430_S5Merged.sc082,20220430_S5Merged.sc125,20220610_Treat.sc007,20220610_Treat.sc010,20220610_Treat.sc014,20220610_Treat.sc021,20220610_Treat.sc024,20220610_Treat.sc042,20220610_Treat.sc063,20220708_GM12878.sc027,20220708_GM12878.sc047,20220708_GM12878.sc062,20220708_GM12878R2.C17,20220708_GM12878R2.C25,20220708_GM12878R2.C53,20220817_HG001.C14,20220817_HG001.C49,20220817_HG001.C52,20220915_P1.C13,20220915_P1.C18,20220915_P1.C39,20220915_P1.C47,20220916_P1.C18,20220916_P1.C24,20220916_P2.C35
cov8-r4	31	7.997155934723014	20220418_S5CSTreat.sc023,20220430_S5Merged.sc031,20220610_Treat.sc014,20220610_Treat.sc031,20220610_Treat.sc035,20220610_Treat.sc053,20220610_Treat.sc069,20220610_Treat.sc074,20220610_Treat.sc084,20220708_GM12878.sc004,20220708_GM12878.sc020,20220708_GM12878.sc022,20220708_GM12878.sc031,20220708_GM12878.sc062,20220708_GM12878.sc068,20220708_GM12878.sc075,20220708_GM12878R2.C02,20220708_GM12878R2.C04,20220708_GM12878R2.C16,20220708_GM12878R2.C53,20220708_GM12878R2.C66,20220817_HG001.C04,20220817_HG001.C07,20220817_HG001.C15,20220817_HG001.C19,20220915_P1.C30,20220915_P1.C51,20220915_P1.C66,20220916_P1.C30,20220916_P1.C60,20220916_P2.C36
cov8-r5	27	8.003012720839875	20220430_S5Merged.sc031,20220430_S5Merged.sc147,20220430_S5Merged.sc157,20220610_Treat.sc002,20220610_Treat.sc004,20220610_Treat.sc023,20220610_Treat.sc024,20220610_Treat.sc038,20220708_GM12878.sc031,20220708_GM12878.sc035,20220708_GM12878.sc036,20220708_GM12878.sc057,20220708_GM12878.sc083,20220708_GM12878.sc084,20220708_GM12878R2.C31,20220708_GM12878R2.C52,20220708_GM12878R2.C69,20220708_GM12878R2.C74,20220708_GM12878R2.C80,20220817_HG001.C38,20220915_P1.C43,20220916_P1.C04,20220916_P1.C16,20220916_P2.C15,20220916_P2.C29,20220916_P2.C66,20220916_P2.C77
cov9-r1	32	8.999794456804462	20220418_S5CSTreat.sc043,20220418_S5CSTreat.sc054,20220430_S5Merged.sc044,20220430_S5Merged.sc098,20220430_S5Merged.sc169,20220610_Treat.sc060,20220610_Treat.sc075,20220708_GM12878.sc020,20220708_GM12878.sc030,20220708_GM12878.sc065,20220708_GM12878.sc080,20220708_GM12878R2.C36,20220708_GM12878R2.C53,20220708_GM12878R2.C69,20220817_HG001.C04,20220817_HG001.C09,20220817_HG001.C17,20220817_HG001.C20,20220817_HG001.C42,20220915_P1.C15,20220915_P1.C30,20220915_P1.C36,20220915_P1.C37,20220915_P1.C41,20220915_P1.C43,20220915_P1.C45,20220915_P1.C87,20220915_P1.C88,20220916_P1.C21,20220916_P1.C68,20220916_P2.C28,20220916_P2.C49
cov9-r2	34	8.993955671025903	20220418_S5CSTreat.sc045,20220418_S5CSTreat.sc050,20220430_S5Merged.sc097,20220430_S5Merged.sc124,20220430_S5Merged.sc157,20220610_Treat.sc010,20220610_Treat.sc013,20220610_Treat.sc040,20220610_Treat.sc053,20220610_Treat.sc062,20220708_GM12878.sc005,20220708_GM12878.sc036,20220708_GM12878.sc062,20220708_GM12878.sc078,20220708_GM12878.sc079,20220708_GM12878R2.C50,20220817_HG001.C19,20220817_HG001.C22,20220817_HG001.C43,20220817_HG001.C53,20220915_P1.C01,20220915_P1.C08,20220915_P1.C13,20220915_P1.C15,20220915_P1.C28,20220915_P1.C53,20220915_P1.C64,20220916_P1.C16,20220916_P1.C20,20220916_P1.C30,20220916_P2.C05,20220916_P2.C32,20220916_P2.C72,20220916_P2.C82
